OscP5 0.9.9 infos, comments, questions at http://www.sojamo.de/oscP5

### [2018/4/13 13:54:11] PROCESS @ OscP5 stopped.
### [2018/4/13 13:54:11] PROCESS @ UdpClient.openSocket udp socket initialized.
### [2018/4/13 13:54:12] PROCESS @ UdpServer.start() new Unicast DatagramSocket created @ port 5002
### [2018/4/13 13:54:12] PROCESS @ UdpServer.run() UdpServer is running @ 5002
### [2018/4/13 13:54:12] INFO @ OscP5 is running. you (128.206.21.52) are listening @ port 5002
TimeStamp, Alpha, Beta, Delta, Gamma, Theta

2018-04-13 13:54:16.706,=(0.4384034738835625+ -0.3785536138770402+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.4742442535020969+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 0.07259023317843574+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.07345186995771971+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.08469938161868194+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:16.865,=(0.4384034738835625+ -0.3785536138770402+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.4742442535020969+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 0.07259023317843574+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.07345186995771971+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.08469938161868194+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.001,=(0.4384034738835625+ -0.3785536138770402+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.4742442535020969+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 0.07259023317843574+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.07345186995771971+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.08469938161868194+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.112,=(0.4384034738835625+ -0.3785536138770402+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.4742442535020969+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 0.07259023317843574+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.07345186995771971+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.08469938161868194+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.227,=(0.4384034738835625+ -0.3785536138770402+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.4742442535020969+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 0.07259023317843574+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.07345186995771971+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.08469938161868194+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.349,=(0.4384034738835625+ 1.4348735252473863+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.7720066210858686+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 1.4289290771984393+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.9387677370044765+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.5649746746363761+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.47,=(0.4384034738835625+ 1.4348735252473863+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.7383499016742243+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 1.390037173916702+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.8883204134876644+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.5261151494346706+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.573,=(0.4384034738835625+ 1.4348735252473863+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.7178779607126374+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 1.3689592572896079+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.8502541039729115+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.4893724842170517+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.671,=(0.4384034738835625+ 1.4348735252473863+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.703117414284669+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 1.3518312594647393+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.814212101222655+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.453607342690456+0.42129925249539546+0.2868814874637888)/4,
2018-04-13 13:54:17.764,=(0.4384034738835625+ 1.4348735252473863+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.6887115400830568+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 1.3312122978389846+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.777460232271582+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.41902956339470043+0.42129925249539546+0.2868814874637888)/4,
